frame,output_dts_ms,elapsed_ms,lag_ms
1,21,1815,1794
60,1004,2900,1896
120,2004,3549,1545
180,3004,4421,1417
240,4004,5152,1148
300,5004,6051,1047
360,6004,6895,891
420,7004,7733,729
480,8004,8240,236
540,9004,9156,152
600,10004,10153,149
660,11004,11160,156
720,12004,12169,165
780,13004,13290,286
840,14004,14369,365
900,15004,15336,332
960,16004,16157,153
1020,17004,17304,300
1080,18004,18207,203
1140,19004,19201,197
1200,20004,20159,155
1260,21004,21278,274
1320,22004,22163,159
1380,23004,23158,154
1440,24004,24158,154
1500,25004,25171,167
1560,26004,26158,154
1620,27004,27176,172
1680,28004,28154,150
1740,29004,29214,210
1800,30004,30157,153
1860,31004,31159,155
1920,32004,32175,171
1980,33004,33685,681
2040,34004,35327,1323
2100,35004,36555,1551
2160,36004,37238,1234
2220,37004,38041,1037
2280,38004,39113,1109
2340,39004,39844,840
2400,40004,42475,2471
